duracion,station_A_id,station_A_name,station_B_id,station_B_name,id_cicla,edad,usuario_tipo,año_nacimiento,genero
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),22,Howard St at Beale St,789,21,2,1965,Male
12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,5110,30,1,1979,Male
6 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,3158,61,1,1975,Male
6 minutes,81,Berry St at 4th St,24,Spear St at Folsom St,5366,17,3,1981,Female
11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),78,Folsom St at 9th St,4757,49,2,1972,Male
7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),114,Rhode Island St at 17th St,5286,22,3,1963,Male
12 minutes,30,San Francisco Caltrain (Townsend St at 4th St),41,Golden Gate Ave at Polk St,3172,30,2,1969,Male
6 minutes,22,Howard St at Beale St,9,Broadway at Battery St,4740,52,2,1987,Male
15 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),116,Mississippi St at 17th St,3661,48,2,1974,Male
3 minutes,30,San Francisco Caltrain (Townsend St at 4th St),50,2nd St at Townsend St,2630,40,2,1982,Male
11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),77,11th St at Natoma St,4941,30,2,1989,Female
9 minutes,81,Berry St at 4th St,22,Howard St at Beale St,5518,50,2,1987,Male
10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,5528,63,2,1988,Male
6 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,5546,56,2,1991,Male
5 minutes,5,Powell St BART Station (Market St at 5th St),80,Townsend St at 5th St,2026,37,3,1995,Male
10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),223,16th St Mission BART Station 2,5016,59,2,1981,Female
8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),16,Steuart St at Market St,5159,23,2,1972,Male
